net,length_um
clknet_0_clk,290.32µm
net32,244.36µm
_0313_,192.36µm
_0358_,187.61µm
net18,187.38µm
_0360_,181.96µm
net38,171.38µm
net53,170.25µm
_0552_,167.33µm
_0553_,164.53µm
_0556_,158.99µm
net58,157.1µm
clk,149.45µm
_0359_,148.24µm
net52,148.2µm
net37,142.28µm
clknet_4_10_0_clk,141.615µm
net28,137.15µm
_0361_,136.34µm
clknet_4_15_0_clk,134.635µm
clknet_4_13_0_clk,126.4µm
_0551_,125.76µm
_0307_,123.49µm
net49,121.64µm
_0314_,121.615µm
net31,120.68µm
net62,120.54µm
_0350_,118.82µm
clknet_4_8_0_clk,118.62µm
net55,115.29µm
net45,115.005µm
_0549_,110.675µm
clknet_4_14_0_clk,109.25µm
add1.prv_st_00\[0\],108.22µm
net64,107.42µm
clknet_4_11_0_clk,106.28µm
net33,105.72µm
net59,105.68µm
clknet_4_7_0_clk,104.415µm
net56,103.64µm
net35,103.395µm
tbck1.in_bit,103.28µm
net51,102.62µm
net34,100.18µm
net48,96.095µm
net54,92.87µm
c1.state\[3\],91.46µm
clknet_4_3_0_clk,91.4µm
net61,89.08µm
clknet_4_2_0_clk,89µm
net46,88.12µm
net36,87.465µm
net57,86.74µm
net60,86.56µm
add1.prv_st_01\[0\],86.54µm
net47,86.13µm
net30,85.4µm
clknet_4_4_0_clk,84.88µm
net43,84.6µm
clknet_4_12_0_clk,81.44µm
add1.prv_st_10\[0\],80.88µm
_0351_,80.06µm
net29,78.18µm
clknet_4_9_0_clk,76.96µm
_0337_,76.86µm
clknet_4_1_0_clk,75.65µm
net65,74.96µm
clknet_4_6_0_clk,73.08µm
_0548_,72.88µm
_0345_,72.32µm
clknet_4_5_0_clk,71.93µm
net17,71.3µm
_0495_,70.28µm
c1.en_tbck,70.08µm
net50,69.86µm
br1.count\[1\],69.07µm
_0550_,68.83µm
_0555_,67.26µm
br1.count\[2\],63.15µm
add1.prv_st_11\[0\],63.1µm
_0519_,63.09µm
_0357_,62.46µm
add1.sum_01\[2\],58.13µm
mem1.trellis_diagr\[20\]\[1\],56.06µm
clknet_4_0_0_clk,55.99µm
add1.hamd_1\[0\],55.42µm
_0457_,54.65µm
add1.prv_st_01\[1\],52.6µm
_0354_,52.43µm
_0560_,52.04µm
add1.sum_10\[1\],51.98µm
add1.hamd_3\[0\],51.8µm
net41,51.635µm
net44,51.59µm
add1.sum_01\[1\],51.18µm
add1.sum_01\[4\],51.17µm
add1.hamd_3\[1\],51.14µm
add1.sum_01\[3\],49.87µm
_0542_,49.58µm
tbck1.select_node\[1\],49.18µm
_0336_,48.66µm
net39,48.465µm
net40,48.12µm
add1.hamd_4\[1\],47.6µm
_0590_,47.5µm
mem1.trace\[2\],47.21µm
add1.hamd_1\[1\],47.2µm
add1.sum_00\[2\],46.1µm
_0312_,45.1µm
net42,44.38µm
mem1.count\[2\],44.26µm
br1.count\[3\],44.17µm
tbck1.count\[3\],43.415µm
_0338_,43.34µm
net63,43.18µm
add1.sum_10\[2\],41.6µm
tbck1.count\[2\],40.84µm
_0382_,40.64µm
_0409_,38.56µm
_0008_,38.1µm
_0375_,37.42µm
_0424_,36.58µm
add1.sum_10\[0\],36.32µm
_0401_,35.98µm
_0571_,35.06µm
_0010_,35.02µm
add1.sum_01\[0\],34.82µm
add1.sum_11\[2\],34.28µm
_0398_,34.12µm
_0353_,33.755µm
_0399_,33.34µm
_0405_,33.25µm
mem1.count\[0\],33.24µm
add1.sum_10\[4\],32.72µm
_0505_,32.54µm
_0408_,32.38µm
_0369_,32.3µm
_0578_,31.76µm
_0326_,31.62µm
add1.hamd_2\[1\],31.34µm
_0445_,31.18µm
_0402_,30.68µm
add1.en_add,30.2µm
_0579_,30µm
_0311_,29.86µm
_0545_,29.16µm
_0316_,28.96µm
add1.sum_10\[3\],28.86µm
_0341_,28.58µm
_0569_,28.5µm
_0583_,28.44µm
add1.sum_00\[1\],28.36µm
add1.sum_11\[1\],28.36µm
mem1.trellis_diagr\[7\]\[0\],28.32µm
_0508_,28.12µm
mem1.trace\[0\],26.97µm
_0468_,26.86µm
_0475_,25.94µm
_0502_,25.66µm
_0422_,25.48µm
_0330_,25.37µm
_0444_,25.26µm
c1.count\[0\],24.8µm
mem1.trellis_diagr\[29\]\[1\],24.8µm
tbck1.sel_bit_out\[2\],24.6µm
mem1.count\[1\],24.33µm
_0377_,24µm
c1.state\[4\],23.98µm
_0384_,23.9µm
_0436_,23.88µm
_0015_,23.64µm
_0367_,23.38µm
_0315_,22.96µm
net173,22.88µm
_0348_,22.72µm
add1.sum_00\[4\],22.6µm
_0539_,22.2µm
mem1.trellis_diagr\[26\]\[1\],22.08µm
mem1.trellis_diagr\[26\]\[0\],22µm
_0572_,21.96µm
bck_prv_st_10\[1\],21.69µm
_0363_,21.68µm
_0586_,21.54µm
add1.sum_11\[3\],21.48µm
_0308_,21.38µm
mem1.trellis_diagr\[4\]\[1\],21.34µm
_0491_,21.24µm
bck_prv_st_01\[1\],21.11µm
_0504_,21.055µm
mem1.trellis_diagr\[15\]\[1\],21µm
_0430_,20.945µm
_0438_,20.88µm
add1.sum_00\[0\],20.68µm
net23,20.46µm
net1,20.44µm
_0565_,20.32µm
_0428_,20.26µm
_0310_,20.18µm
_0347_,20µm
tbck1.count\[0\],20µm
_0593_,19.72µm
_0386_,19.54µm
mem1.trellis_diagr\[1\]\[1\],19.42µm
tbck1.sel_bit_out\[4\],19.32µm
add1.sum_00\[3\],19.26µm
_0435_,19.22µm
c1.count\[2\],19.12µm
_0437_,19.06µm
_0513_,19.06µm
mem1.trellis_diagr\[0\]\[0\],18.82µm
mem1.trellis_diagr\[13\]\[0\],18.74µm
tbck1.select_node\[2\],18.7µm
mem1.trellis_diagr\[10\]\[1\],18.62µm
_0563_,18.48µm
mem1.trellis_diagr\[2\]\[1\],18.46µm
_0296_,18.405µm
mem1.trellis_diagr\[2\]\[0\],18.36µm
_0325_,18.18µm
_0469_,18.08µm
mem1.trellis_diagr\[28\]\[0\],17.82µm
c1.count\[1\],17.78µm
add1.sum_11\[4\],17.64µm
_0482_,17.5µm
_0480_,17.42µm
net168,17.26µm
mem1.trellis_diagr\[11\]\[1\],17.14µm
net134,16.94µm
mem1.trellis_diagr\[3\]\[0\],16.92µm
mem1.trellis_diagr\[19\]\[1\],16.9µm
_0011_,16.88µm
br1.data_reg\[12\],16.79µm
_0453_,16.46µm
_0561_,16.46µm
_0446_,16.44µm
br1.data_rx\[1\],16.44µm
_0448_,16.3µm
_0535_,16.12µm
net75,16.12µm
net19,16.06µm
mem1.trellis_diagr\[6\]\[0\],16.02µm
_0349_,15.9µm
net66,15.72µm
mem1.trellis_diagr\[27\]\[0\],15.625µm
mem1.trellis_diagr\[21\]\[0\],15.555µm
_0371_,15.5µm
br1.data_reg\[0\],15.34µm
_0252_,15.32µm
br1.data_rx\[0\],15.2µm
_0181_,15.12µm
br1.data_reg\[8\],15.1µm
_0329_,14.88µm
mem1.trellis_diagr\[9\]\[0\],14.74µm
mem1.trellis_diagr\[11\]\[0\],14.725µm
mem1.trellis_diagr\[30\]\[0\],14.72µm
_0209_,14.64µm
mem1.trellis_diagr\[1\]\[0\],14.64µm
mem1.trellis_diagr\[27\]\[1\],14.64µm
_0155_,14.6µm
_0470_,14.6µm
tbck1.sel_bit_out\[0\],14.6µm
mem1.trellis_diagr\[16\]\[1\],14.52µm
net21,14.42µm
mem1.trellis_diagr\[29\]\[0\],14.38µm
_0026_,14.26µm
_0509_,14.24µm
net165,14.18µm
_0318_,14.14µm
_0459_,14.14µm
_0301_,14.04µm
_0343_,14.04µm
_0516_,13.98µm
mem1.trellis_diagr\[14\]\[0\],13.94µm
mem1.trellis_diagr\[28\]\[1\],13.94µm
