Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_54_321,VGND,li1,154.1000,157.7600,0.000001
FILLER_54_309,VGND,li1,150.4200,157.7600,0.000001
FILLER_54_305,VGND,li1,146.5100,157.7600,0.000001
FILLER_54_293,VGND,li1,143.0600,157.7600,0.000001
FILLER_54_281,VGND,li1,137.5400,157.7600,0.000001
FILLER_54_265,VGND,li1,128.1100,157.7600,0.000001
FILLER_54_249,VGND,li1,120.7500,157.7600,0.000001
FILLER_54_237,VGND,li1,117.3000,157.7600,0.000001
FILLER_54_225,VGND,li1,111.7800,157.7600,0.000001
FILLER_54_217,VGND,li1,106.0300,157.7600,0.000001
FILLER_54_209,VGND,li1,103.5000,157.7600,0.000001
FILLER_54_197,VGND,li1,98.9000,157.7600,0.000001
FILLER_54_193,VGND,li1,94.9900,157.7600,0.000001
FILLER_54_181,VGND,li1,91.5400,157.7600,0.000001
FILLER_54_169,VGND,li1,86.0200,157.7600,0.000001
FILLER_54_165,VGND,li1,82.1100,157.7600,0.000001
FILLER_54_153,VGND,li1,78.6600,157.7600,0.000001
FILLER_54_141,VGND,li1,73.1400,157.7600,0.000001
FILLER_54_137,VGND,li1,69.2300,157.7600,0.000001
FILLER_54_125,VGND,li1,65.7800,157.7600,0.000001
FILLER_54_113,VGND,li1,60.2600,157.7600,0.000001
FILLER_54_109,VGND,li1,56.3500,157.7600,0.000001
FILLER_54_97,VGND,li1,52.9000,157.7600,0.000000
FILLER_54_85,VGND,li1,47.3800,157.7600,0.000000
FILLER_54_81,VGND,li1,43.4700,157.7600,0.000000
FILLER_54_69,VGND,li1,40.0200,157.7600,0.000000
FILLER_54_57,VGND,li1,34.5000,157.7600,0.000000
FILLER_54_53,VGND,li1,30.5900,157.7600,0.000000
FILLER_54_41,VGND,li1,27.1400,157.7600,0.000000
FILLER_54_29,VGND,li1,21.6200,157.7600,0.000000
FILLER_54_27,VGND,li1,18.1700,157.7600,0.000000
FILLER_54_15,VGND,li1,15.1800,157.7600,0.000000
FILLER_54_3,VGND,li1,9.6600,157.7600,0.000000
FILLER_53_313,VGND,li1,152.2600,157.7600,0.000001
FILLER_53_301,VGND,li1,146.7400,157.7600,0.000001
FILLER_53_289,VGND,li1,141.2200,157.7600,0.000001
FILLER_53_276,VGND,li1,133.4000,157.7600,0.000001
FILLER_53_257,VGND,li1,123.9700,157.7600,0.000001
FILLER_53_249,VGND,li1,121.9000,157.7600,0.000001
FILLER_53_237,VGND,li1,117.3000,157.7600,0.000001
FILLER_53_225,VGND,li1,111.7800,157.7600,0.000001
FILLER_53_223,VGND,li1,108.3300,157.7600,0.000001
FILLER_53_217,VGND,li1,106.7200,157.7600,0.000001
FILLER_53_205,VGND,li1,102.5800,157.7600,0.000001
FILLER_53_193,VGND,li1,97.0600,157.7600,0.000001
